Area_Code,Population,Households,Med_Age,Med_HH_Inc,Avg_HH_Inc
99131,213,88,52.9,48235,61352
99133,1610,779,49.1,48986,72479
99134,570,247,48.1,65407,84308
99135,273,113,52.4,73611,105186
99136,50,23,56.1,62500,83174
99137,300,125,51.9,46827,56524
99138,1194,458,38.9,32037,42424
99139,1243,570,54.0,49297,60399
99140,435,167,39.3,31579,44380
99141,5166,2292,50.0,45403,55209
99143,691,314,49.6,58333,80965
99144,51,22,48.0,75000,94341
99147,241,108,56.3,48571,64264
99148,2629,1082,49.4,58857,75975
99150,373,136,44.8,44750,58805
99151,148,65,56.4,43654,52269
99153,720,353,52.8,43352,55717
99154,44,19,42.5,62500,80421
99156,8549,3639,48.7,44805,57059
99157,490,226,56.1,36923,49438
99158,505,223,48.5,57398,71561
99159,1220,532,50.5,45235,61830
99160,116,54,55.4,43182,54907
99161,1316,567,46.8,66103,77679
99163,35450,13965,24.0,32743,60904
99164,1372,210,20.3,15750,23107
99166,3413,1556,52.3,41194,55114
99167,820,350,54.5,46299,57316
99169,2594,1106,46.1,54630,69651
99170,1224,511,46.1,44483,58583
99171,957,461,49.2,45430,57253
99173,1586,640,47.1,39466,49998
99176,183,81,50.7,53472,66426
99179,351,147,46.1,75391,89391
99180,805,354,53.8,45385,57042
99181,2101,862,45.7,38639,57956
99185,1272,585,53.1,42109,53056
99201,14336,7471,40.0,25843,39633
99202,21909,7658,30.4,35097,51730
99203,20788,9217,43.2,69690,91356
99204,6725,3816,37.6,28935,44427
99205,42252,17975,37.3,47667,57395
99206,37659,15125,38.5,53446,68701
99207,30978,12313,33.4,35979,44526
99208,55621,21818,38.3,58149,75335
99212,20340,8558,40.2,53880,67530
99216,25328,10727,36.8,47017,58819
99217,18683,7427,36.0,48724,62825
99218,14380,5490,34.8,51809,66482
99223,31646,13546,41.5,62889,82996
99224,21967,9106,39.6,62468,86955
99251,1083,239,23.2,64183,75603
99301,81281,24534,30.0,66054,82271
99320,10043,3705,37.9,62948,76167
99321,332,88,26.9,56481,65739
99322,262,94,40.2,46250,60293
99323,3699,1281,41.1,77827,83936
99324,10168,4026,35.0,48172,61577
99326,6304,1356,33.6,60410,72992
99328,3785,1668,50.6,45166,65357
99330,992,317,32.9,73177,89785
99336,52501,19849,32.2,47372,62452
99337,33194,11709,37.0,70711,86004
99338,15041,5188,40.0,99818,114532
99341,760,297,39.2,65931,77114
99343,3263,832,28.4,68399,90186
99344,18038,4978,26.7,53440,65769
99347,2286,1021,49.9,48569,57340
99348,1193,394,32.6,41667,54753
99349,10305,2262,26.3,56593,63710
99350,14674,4885,33.0,58159,73362
99352,34340,13790,40.1,78602,102923
99353,15811,5548,37.0,84848,99641
99354,22222,9443,38.8,69388,92467
99356,249,89,41.0,45875,58680
99357,4410,1129,26.5,50948,64271
99360,1660,588,40.7,66727,85074
99361,1936,779,45.8,54688,70207
99362,42728,15800,37.3,51735,68614
99371,305,145,55.4,53611,57352
99401,228,95,45.3,59659,75811
99402,1821,757,47.4,60013,74033
99403,20574,9021,44.5,48766,64612
53033,2198918,898150,38.2,90281,125331
1,326533070,123942960,38.4,61045,86278
